"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34579.220639762","35552.0844155826","35947.3722593228","36124.3033492699","37118.2720488659","37009.6479728846","35997.8544202823","37070.0133081279","36889.4231951587","36842.9551654158","39244.8298545806","40505.5330010609","39846.0627615715","39832.5790764609","41834.9275811055","40608.8196948258","40335.4176892185","41272.27939244","41710.4970441525","36590.560109989","35508.5945732562","36435.5553328221","35530.2600441558","37255.3534520324","36275.6809553371","35682.3002526702","36021.8308363445","38558.0045581753","39419.5553476692","38435.4269132506","28521.6888517757","35696.3093722926","38877.6744362842","40516.8085633136",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3386.85447952843","3293.79761274341","3135.10106899285","3023.98884329606","2993.63013167436","3048.0852532511","3133.17768075563","3177.4672867432","3155.07375516637","3157.38483982853","3176.56865526643","3208.67601731343","3248.72023383918","3264.29954887682","3362.86762541894","3484.01985582659","3621.83604218029","3767.97190357364","3837.11074782246","3768.54106440234","3863.83601211228","3924.47066573014","3931.14661933667","3991.80897115848","4052.85152591612","4076.02056457606","4074.98213277472","4085.879142873","4088.89095321539","4073.8805217004","3861.11123778648","3934.28726680508","3974.80304490307","3967.86093740163",
"Afghanistan","AFG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1617.82647494969","1454.11078195559","1774.30874287341","1815.92819979586","1776.91820712187","1908.11478234587","1929.72389709372","2155.35306784413","2191.50435559062","2565.02208584099","2848.58606111495","2757.05258747725","2985.31914452845","3046.57993117128","3017.94254424696","2967.692067153","2958.7853992308","2952.99891598909","2902.39211285546","2927.2451435353","2769.68574507111","2144.16657002819","1981.71016810561","1992.42439419795",
"Africa Western and Central","AFW","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3299.40137494778","3250.64141780933","3228.26351611053","3106.5015330611","3022.45677691695","3006.39725013475","3063.32245219933","3115.78085676538","3144.16784403948","3112.30577450106","3139.32487230172","3208.77820503195","3404.43033319539","3486.96684210805","3652.07020471508","3753.56928173935","3842.64582957679","3932.74232196586","4059.82143552376","4182.8997970212","4343.40583943658","4426.93668799323","4535.77146499773","4678.32559144388","4816.91735485905","4817.80055197207","4713.51515210041","4709.64546122443","4730.82340705174","4774.41277140774","4622.73142686672","4698.92689418476","4767.38326230894","4814.6114433725",
"Angola","AGO","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7391.75235368345","7218.44143173584","6578.06857492","4843.15588381552","4751.47164903966","5284.70313321921","5800.9625138357","6015.18684736899","6090.09587758534","6021.22914776477","6002.98914011246","6049.16321222272","6645.47776627718","6609.21488902386","7074.02594737625","7845.89015271542","8435.4550466421","9263.98070293341","9916.90935059131","9629.09194801829","9672.83922433216","9627.02059776978","10051.3399118452","10150.9160957693","10250.5924040333","9980.92988185425","9381.80972573042","9042.11712940232","8620.21466424389","8274.54256174643","7556.96792771976","7408.12659121059","7397.48642731105","7244.89305295156",
"Albania","ALB","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5327.74745817214","3859.0568617301","3603.48884474812","3972.1239285117","4328.41397768147","4935.45221980927","5418.14832476367","4856.76828935362","5318.9618878105","6042.7698981677","6503.8345973574","7109.62758104454","7454.47831321598","7896.09737787753","8366.43391357314","8874.09928781527","9457.38699938185","10099.2815063827","10940.3606201706","11383.7887377103","11864.5356788164","12199.3104546351","12392.6540095883","12539.7838552215","12788.747230621","13110.6178808108","13566.905825586","14095.7590458888","14698.5376181768","15065.7495726178","14650.3959291802","16113.1365187234","17097.4783599802","17975.7983946412",
"Andorra","AND","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50036.3007757561","47624.9668573542","45246.53307101","42605.6595832451","42716.3656354","44375.0247238159","46386.0912022485","50032.3529125128","51092.2222352218","52921.0452609846","54809.1441679423","59109.0136806378","61188.6370851474","63656.1958332184","64353.4858113531","65114.8053663021","66390.293726491","65534.1168555171","60691.6051530637","57203.9708883731","58285.0577756981","60470.4662377044","58172.1323929474","57332.1585611366","59929.2444670501","62105.1542389675","64402.8092369468","63239.6577711911","63048.5985572834","63215.899791913","55488.4902991095","59332.2029100127","63913.3835079105","64631.2963909271",
"Arab World","ARB","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11052.3611702746","10609.4584659016","11003.7568318565","11055.5270915742","11092.0309928149","11127.8396570929","11411.9827261235","11739.7717072944","12091.9759973737","12183.6101613699","12628.5512070906","12612.101830647","12467.2732720964","12578.5417443395","13392.3110041658","13774.5633693228","14256.8796825304","14558.5406331067","15005.5500994307","14831.3557882275","15238.7167798989","15504.9785271672","15686.9388559957","15612.9703540304","15652.603641032","15855.659904797","16095.4804771557","16054.9758759011","16226.424043005","16263.113001947","15316.6271996964","15670.3838090306","16194.4869763763","16028.4157837409",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108057.042463812","103098.537131595","101100.487512026","97429.1639228323","99402.0219384146","101412.082063441","100563.698291494","100310.446244747","93224.2199599987","89303.7759053152","92547.2290366157","88045.1975154911","84871.6027555495","87150.8833812142","90388.9837721326","89986.1311237032","92044.5126089174","84581.8658091331","77891.9886000886","69357.9974293595","68799.9308562268","70662.5159525691","69158.8266413681","69806.9559832794","69409.0370433601","70234.7317531027","70573.992709624","68871.8495814593","68854.9699016986","68887.8454107816","65784.6769388646","67401.1212950201","68867.8259305075","68577.5405661277",
"Argentina","ARG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17007.2844317191","18295.6091996812","19476.2840606477","20791.3451479504","21711.842788091","20819.4999479903","21695.5949515372","23172.1583398342","23783.1017185449","22714.5111302701","22281.3814299958","21066.4581290433","18571.7020471274","20005.1385113465","21591.449396517","23262.4075792816","24877.2493922296","26850.6645932771","27658.4853446831","25747.1976809995","28056.2570212342","29425.7593876084","28825.9666865361","29227.6601818437","28200.8152571318","28669.2061336796","27802.1057201498","28334.904184742","27367.115094108","26629.5529419501","23877.0931404855","26300.274261175","27627.9634764636","27104.9799978169",
